Name	x	y	z	ex	ey	ez
MEG2432	0.0875	-0.0509	0.0556	0.8338	-0.5381	0.1235
MEG2431	0.0875	-0.0509	0.0556	0.8338	-0.5381	0.1235
MEG2442	0.0789	-0.0469	0.0892	0.765	-0.522	0.3771
MEG2443	0.0789	-0.0469	0.0892	0.765	-0.522	0.3771
MEG2441	0.0789	-0.0469	0.0892	0.765	-0.522	0.3771
MEG2512	0.0639	-0.0806	0.0248	0.5947	-0.8035	0.0273
MEG2513	0.0639	-0.0806	0.0248	0.5947	-0.8035	0.0273
MEG2511	0.0639	-0.0806	0.0248	0.5947	-0.8035	0.0273
MEG2522	0.0871	-0.0561	0.0223	0.8294	-0.558	0.0273
MEG2523	0.0871	-0.0561	0.0223	0.8294	-0.558	0.0273
MEG2521	0.0871	-0.0561	0.0223	0.8294	-0.558	0.0273
MEG2533	0.0767	-0.0728	-0.0104	0.7119	-0.6982	0.0759
MEG2532	0.0767	-0.0728	-0.0104	0.7119	-0.6982	0.0759
MEG2531	0.0767	-0.0728	-0.0104	0.7119	-0.6982	0.0759
MEG2543	0.0498	-0.0925	-0.0088	0.4216	-0.9012	0.1005
MEG2542	0.0498	-0.0925	-0.0088	0.4216	-0.9012	0.1005
MEG2541	0.0498	-0.0925	-0.0088	0.4216	-0.9012	0.1005
MEG2612	0.1096	0.0067	0.0167	0.9978	-0.0658	-0.011
MEG2613	0.1096	0.0067	0.0167	0.9978	-0.0658	-0.011
MEG2611	0.1096	0.0067	0.0167	0.9978	-0.0658	-0.011
MEG2623	0.1078	-0.0136	-0.0157	0.9751	-0.2184	0.0377
MEG2622	0.1078	-0.0136	-0.0157	0.9751	-0.2184	0.0377
MEG2621	0.1078	-0.0136	-0.0157	0.9751	-0.2184	0.0377
MEG2633	0.0961	-0.0454	-0.0128	0.8783	-0.4746	0.0573
MEG2632	0.0961	-0.0454	-0.0128	0.8783	-0.4746	0.0573
MEG2631	0.0961	-0.0454	-0.0128	0.8783	-0.4746	0.0573
MEG2642	0.1026	-0.0261	0.0198	0.9452	-0.3265	0.0044
MEG2643	0.1026	-0.0261	0.0198	0.9452	-0.3265	0.0044
MEG2641	0.1026	-0.0261	0.0198	0.9452	-0.3265	0.0044
